"artifact","moduleUrl","moduleLicense","moduleLicenseUrl",
"aopalliance:aopalliance:1.0","http://aopalliance.sourceforge.net","Public-Domain",,
"ch.qos.logback:logback-classic:1.5.18","http://www.qos.ch","LGPL-2.1-only","https://www.gnu.org/licenses/lgpl-2.1",
"ch.qos.logback:logback-core:1.5.18","http://www.qos.ch","LGPL-2.1-only","https://www.gnu.org/licenses/lgpl-2.1",
"com.auth0:java-jwt:4.5.0","https://github.com/auth0/java-jwt","MIT","https://opensource.org/licenses/MIT",
"com.auth0:jwks-rsa:0.23.0","https://github.com/auth0/jwks-rsa-java","MIT","https://opensource.org/licenses/MIT",
"com.fasterxml:classmate:1.7.0","https://github.com/FasterXML/java-classmate","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.fasterxml.jackson:jackson-bom:2.19.2","https://github.com/FasterXML/jackson-bom","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.fasterxml.jackson.core:jackson-annotations:2.19.2","https://github.com/FasterXML/jackson","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.fasterxml.jackson.core:jackson-core:2.19.2","https://github.com/FasterXML/jackson-core","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.fasterxml.jackson.core:jackson-databind:2.19.2","https://github.com/FasterXML/jackson","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.19.2","https://github.com/FasterXML/jackson-dataformats-text","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.19.2","https://github.com/FasterXML/jackson-modules-java8/jackson-datatype-jdk8","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.19.2","https://github.com/FasterXML/jackson-modules-java8/jackson-datatype-jsr310","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.fasterxml.jackson.module:jackson-module-parameter-names:2.19.2","https://github.com/FasterXML/jackson-modules-java8/jackson-module-parameter-names","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.github.ben-manes.caffeine:caffeine:3.2.2","https://github.com/ben-manes/caffeine","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.github.danielwegener:logback-kafka-appender:0.2.0-RC2","https://github.com/danielwegener/logback-kafka-appender","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.github.luben:zstd-jni:1.5.6-4","https://github.com/luben/zstd-jni","BSD-2-Clause","https://opensource.org/licenses/BSD-2-Clause",
"com.google.code.findbugs:jsr305:3.0.2","http://findbugs.sourceforge.net/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.google.errorprone:error_prone_annotations:2.40.0","https://errorprone.info/error_prone_annotations","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.google.guava:failureaccess:1.0.1","https://github.com/google/guava/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
"com.google.guava:guava:32.1.2-jre","https://github.com/google/guava/","Apache-2.0","https://www.apache.org/licenses/LICENSE-2.0",
